TransactionID,TransactionDT,TransactionAmt,card1,card4,card6,addr1,addr2,dist1,dist2,P_emaildomain,ProductCD,C1,C2,C3,C4,C5,DeviceType,DeviceInfo,isFraud
1075721,14634939,85.7851040522753,6333,discover,credit,347,75,13.623634928603536,20.481668538696603,gmail.com,H,1,0,1,3,3,tablet,Windows,0
1080184,8738957,56.70663054325854,8323,mastercard,debit,199,59,11.703181908147998,7.958319942007579,iCloud.com,H,0,2,2,2,0,mobile,Windows,0
1019864,14418638,27.809567000091917,7228,mastercard,debit,347,34,83.00120136363671,98.27092549054521,msn.com,S,1,0,2,1,1,mobile,Android,0
1076699,10414072,69.13542982366242,8670,discover,credit,264,89,4.978823611711024,7.824769276981421,msn.com,W,1,2,4,0,4,desktop,Windows,0
1092991,12932326,523.8757711810729,1693,amex,credit,205,78,38.77339293547242,23.013419352809844,gmail.com,C,1,2,4,2,3,desktop,MacOS,0
1076434,11683177,109.84413507556675,4943,amex,credit,489,26,25.009490070626644,26.083105237468725,hotmail.com,S,3,1,1,3,5,desktop,iOS,0
1084004,10957625,63.107315115442006,4638,mastercard,credit,523,76,296.43436338553255,264.9278466569498,gmail.com,H,4,1,2,1,5,desktop,Windows,0
1080917,14603192,80.68425585152194,5067,discover,debit,257,61,53.87476428702686,30.297122925405855,outlook.com,C,3,1,1,2,0,desktop,Android,0
1060767,15166816,256.646677291026,9828,visa,credit,229,13,9.533498350399793,6.67493678551946,iCloud.com,C,1,0,2,2,3,mobile,Windows,0
1050074,11420436,31.133698598208287,2557,visa,credit,130,44,29.9143142000812,25.278411514000986,iCloud.com,S,1,0,2,3,0,mobile,Windows,0
1027701,15357441,9.069669041966261,7880,mastercard,credit,252,10,25.732937500509728,36.652549930592485,iCloud.com,H,1,1,1,2,2,mobile,Android,0
1042141,6325064,326.09939029713973,6571,amex,credit,426,37,1.6782655075210546,3.9627829358033084,yahoo.com,R,4,0,3,3,4,tablet,MacOS,0
1045080,7757894,33.035548556711575,1657,discover,credit,544,12,38.9037242430751,28.31978098427543,hotmail.com,R,4,0,3,2,0,desktop,Android,0
1016638,3441818,28.80880008683351,1513,mastercard,debit,177,83,74.76198068926193,76.46043487008171,aol.com,R,3,1,2,3,2,desktop,iOS,0
1020424,6973187,275.7608352905675,7238,mastercard,credit,311,89,18.87822490748738,20.781487289069286,iCloud.com,W,4,2,1,3,2,desktop,Windows,0
1088702,10020951,406.4140990440227,7090,visa,credit,470,17,29.100927090118233,36.82507834255584,iCloud.com,C,3,0,1,0,4,desktop,Windows,0
1000149,11850783,70.08709348337737,2998,mastercard,credit,513,17,67.25380882905324,48.88990052847273,hotmail.com,C,3,1,1,0,2,mobile,Windows,0
1001761,4529137,8.581280522133712,2343,mastercard,credit,389,24,103.0734595349681,87.47873668288753,outlook.com,S,4,2,4,3,0,desktop,Android,0
1063120,10443953,17.40226703397714,7159,discover,credit,543,11,31.308611637793277,22.140311598877105,outlook.com,C,4,1,0,1,0,mobile,MacOS,0
1069161,11154046,79.39211101202497,3007,visa,debit,366,59,7.454719130277562,1.9949213572009254,yahoo.com,C,0,2,1,1,5,mobile,iOS,0
1064883,9278778,27.12657566420031,1433,mastercard,credit,270,85,17.826966012233115,22.683895295908556,msn.com,H,2,1,1,3,3,desktop,Windows,0
1002495,11865877,39.16325454476223,8815,discover,credit,510,31,22.722811099248787,14.489589032849466,gmail.com,S,1,0,1,0,2,desktop,Windows,0
1080296,14211131,59.02272607724875,1525,visa,credit,407,93,23.90508481031891,30.949405138556905,aol.com,H,0,1,0,1,5,desktop,Windows,0
